property_type,state,lat,lon,area_m2,price_usd
house,Galicia,42.229169,-8.7026991,288.6,"$394,792.23 "
apartment,Manitoba,50.1369112,-96.8791564,241.3,"$46,773.57 "
apartment,Coimbra,40.2252364,-8.5846629,73.3,"$418,570.97 "
apartment,Manitoba,49.10469,-97.55961,249.3,"$336,622.44 "
house,Coimbra,,-7.8929371,71.4,"$222,084.39 "
house,Coimbra,40.1300413,-8.3176644,104.8,"$437,889.64 "
apartment,Coimbra,40.1893575,-8.8601025,226.5,"$395,547.73 "
apartment,Coimbra,40.458916,-7.8775484,80.2,"$324,637.50 "
house,Pahang,3.9671435,103.40391,186.6,"$345,676.82 "
apartment,Akershus,59.021857,10.083357,395,"$429,979.40 "
apartment,Jalisco,19.4458447,-99.1497664,312.2,"$73,364.66 "
house,Coimbra,40.131487,-8.3317519,130.6,"$186,842.33 "
house,Coimbra,40.27638,-8.4732946,332.6,"$445,580.12 "
house,Coimbra,40.2758091,-8.5720706,161.3,"$255,730.97 "
house,Coimbra,40.3159517,-7.9013121,285.7,"$240,598.68 "
apartment,Manitoba,54.7769326,-101.8448368,284.9,"$283,091.16 "
house,Pahang,3.8353843,103.2901816,342.8,"$88,773.78 "
apartment,Coimbra,40.4579077,,353.9,"$426,906.30 "
apartment,Coimbra,40.2766272,-8.4903311,111.1,"$33,054.42 "
house,Coimbra,40.2462817,-8.5659855,205.1,"$124,351.25 "
house,Akershus,59.8346001,10.4365687,266.2,"$280,585.83 "
house,Sarawak,3.2093353,101.6716295,78.7,"$420,065.84 "
house,Manitoba,50.2477455,-99.8375158,313.8,"$292,936.88 "
apartment,Galicia,42.8518656,-8.5638609,229.9,"$123,269.85 "
house,Jalisco,20.8068681,-102.7799627,116.1,"$85,259.94 "
apartment,Coimbra,40.1694467,-8.4784931,301.5,"$423,169.71 "
house,Rogaland,58.848193,5.66466,302,"$272,112.58 "
apartment,Coimbra,40.0604197,-8.6218634,360.2,"$133,924.23 "
apartment,Coimbra,40.2356918,-8.5568556,322.4,"$317,268.17 "
apartment,Andalucia,36.7203407,-4.419495,345.5,"$447,900.23 "
house,Coimbra,40.2365225,-8.5110798,378.5,"$200,462.79 "
house,Sarawak,3.2093353,101.6716295,395.7,"$353,429.21 "
house,Rogaland,58.9583506,5.7740124,319.1,"$133,634.04 "
apartment,Coimbra,40.1675841,-8.4639317,295.9,"$381,237.92 "
apartment,Coimbra,40.2462817,-8.5659855,375.1,"$369,604.69 "
house,Coimbra,40.2462817,-8.5659855,90.4,"$409,538.93 "
house,Jalisco,19.6707976,-99.1885208,159,"$363,162.31 "
house,Galicia,42.214405,-8.7357274,306.1,"$379,677.49 "
house,Coimbra,40.323749,-8.7980385,364.7,"$224,986.90 "
apartment,Andalucia,36.7195014,-4.4239965,90.8,"$203,754.34 "
house,Jalisco,25.8025129,-100.2268529,167.1,"$64,478.27 "
apartment,Coimbra,40.2295229,-8.5664387,317.7,"$50,896.53 "
apartment,Manitoba,49.1980747,-98.102542,359.2,"$26,107.75 "
apartment,Coimbra,40.2252364,-8.5846629,83.8,"$92,689.50 "
apartment,Manitoba,50.2477455,-99.8375158,245.3,"$31,742.39 "
apartment,Manitoba,49.18332,-99.66364,357.6,"$411,870.17 "
apartment,Jalisco,18.1096868,-95.8803869,249.3,"$442,768.17 "
apartment,Coimbra,,-8.7360619,107.7,"$444,424.21 "
apartment,Jalisco,20.7303804,-103.3977222,252.7,"$114,604.02 "
apartment,Coimbra,40.2690451,-7.9886104,148.3,"$289,554.96 "
apartment,Jalisco,17.9567646,-102.1943485,206.9,"$32,067.48 "
house,Sarawak,3.191408,113.088634,95.6,"$390,940.85 "
house,Jalisco,20.5439984,-103.4649786,371.3,"$367,219.18 "
apartment,Coimbra,,-7.9013121,385.1,"$168,596.12 "
house,Jalisco,19.4458447,-99.1497664,81.9,"$359,357.49 "
house,Coimbra,40.3620707,-8.5535343,70.6,"$224,352.47 "
apartment,Jalisco,25.7572143,,354.8,"$265,521.87 "
apartment,Coimbra,,-8.5031422,248.1,"$280,668.11 "
house,Coimbra,40.3073139,-7.9200214,155.9,"$150,706.09 "
apartment,Sarawak,1.5589383,110.346648,383,"$126,271.46 "
house,Pahang,3.9671435,103.40391,242.2,"$288,583.14 "
house,Manitoba,50.0622,,111.7,"$200,686.95 "
apartment,Coimbra,40.2766272,-8.4903311,141.3,"$208,957.20 "
house,Coimbra,40.1832322,-8.554308,198.7,"$420,736.86 "
house,Pahang,3.9671435,,331.8,"$444,304.17 "
house,Coimbra,40.3519909,-7.8410273,82,"$314,072.03 "
apartment,Jalisco,19.4281922,-99.1789859,200.3,"$166,181.11 "
apartment,Jalisco,17.9567646,-102.1943485,110.6,"$357,792.76 "
apartment,Coimbra,40.152053,-8.3479579,334.3,"$118,748.77 "
house,Jalisco,20.8068681,-102.7799627,151.1,"$23,088.01 "
house,Jalisco,25.6765837,-100.2602364,114.8,"$209,421.05 "
apartment,Coimbra,40.3356039,-7.883045,129.4,"$33,039.53 "
apartment,Coimbra,40.1832322,-8.554308,176.9,"$397,153.30 "
apartment,Coimbra,40.2553096,-8.5929199,165.8,"$39,725.45 "
apartment,Jalisco,20.8068681,-102.7799627,399.8,"$33,414.68 "
house,Coimbra,40.0604197,-8.6218634,332.7,"$433,514.77 "
apartment,Jalisco,19.4614133,-99.1186381,187.4,"$215,759.45 "
house,Galicia,42.8518656,-8.5638609,97.8,"$185,749.84 "
house,Sarawak,3.2093353,101.6716295,332,"$29,121.71 "
house,Coimbra,,,180.4,"$167,094.18 "
house,Coimbra,40.1893575,-8.8601025,280,"$67,974.60 "
apartment,Coimbra,40.1394691,-8.3092933,292.3,"$120,839.94 "
house,Jalisco,20.7917375,-102.7817591,269.7,"$417,075.82 "
house,Galicia,42.9782326,-7.5626411,375.3,"$377,223.80 "
apartment,Coimbra,40.131487,-8.3317519,107.8,"$312,683.44 "
apartment,Rogaland,58.9583506,5.7740124,333.7,"$169,203.45 "
house,Coimbra,40.2553096,-8.5929199,205.6,"$78,488.92 "
apartment,Jalisco,19.4052965,-99.1504583,391.6,"$335,244.07 "
apartment,Coimbra,40.2690451,-7.9886104,327.8,"$129,965.71 "
apartment,Sarawak,1.4871144,110.3426018,264.1,"$376,772.63 "
house,Coimbra,40.4222721,-7.921883,212.8,"$274,112.98 "
house,Rogaland,58.9747897,5.6952439,349.1,"$88,266.05 "
apartment,Coimbra,40.3942251,-7.8103942,100,"$263,953.02 "
house,Sarawak,3.2093353,101.6716295,124.4,"$224,817.47 "
apartment,Coimbra,40.4603188,-8.72233,161.2,"$225,108.31 "
house,Galicia,42.2390986,-8.6848147,132,"$229,495.06 "
apartment,Coimbra,40.2187855,-8.0537529,180.8,"$286,883.56 "
house,Coimbra,40.1893575,-8.8601025,87,"$118,869.07 "
apartment,Galicia,42.3233666,,125.1,"$435,439.78 "
house,Galicia,42.3233666,-7.8585562,87.1,"$273,020.76 "
apartment,Coimbra,40.1284892,-8.8575795,301.1,"$382,551.28 "
apartment,Pahang,3.8353843,103.2901816,187.9,"$116,879.25 "
apartment,Manitoba,49.23062,-100.05586,288.3,"$286,175.06 "
house,Coimbra,40.3727775,-7.8600447,76.8,"$120,872.17 "
apartment,Jalisco,19.4052965,-99.1504583,213.3,"$105,329.79 "
apartment,Coimbra,40.4222721,-7.921883,75.8,"$347,605.85 "
apartment,Coimbra,40.4655049,-8.7183737,94.2,"$287,693.28 "
apartment,Akershus,59.021857,10.083357,331,"$326,565.82 "
house,Galicia,42.4385891,-8.5995773,232,"$369,882.85 "
apartment,Manitoba,50.0622,-96.51669,279.9,"$382,087.91 "
house,Coimbra,40.4655049,-8.7183737,369.9,"$219,259.58 "
house,Coimbra,40.4369723,-8.7230388,387.6,"$40,957.26 "
house,Jalisco,19.3851705,-99.1837453,151.7,"$39,107.82 "
apartment,Akershus,59.8346001,10.4365687,156.6,"$428,788.31 "
house,Manitoba,50.1369112,-96.8791564,399,"$314,554.08 "
apartment,Manitoba,50.13441,-97.32676,144.3,"$163,580.59 "
apartment,Coimbra,40.2974812,-8.1955122,77.3,"$28,820.50 "
apartment,Galicia,43.4880374,-8.2310576,183.9,"$285,133.32 "
apartment,Coimbra,40.4387139,-8.7142851,106.5,"$320,297.60 "
apartment,Coimbra,40.370514,-8.7330787,262.4,"$75,995.74 "
apartment,Andalucia,37.439299,,326.8,"$151,081.21 "
house,Galicia,42.2390986,-8.6848147,124,"$144,299.95 "
house,Galicia,42.4385891,-8.5995773,296.8,"$291,265.98 "
house,Coimbra,40.1676522,-8.4138349,87.2,"$337,333.27 "
house,Andalucia,37.3100775,-5.9647536,378.4,"$237,673.59 "
house,Rogaland,58.960787,5.7326598,398.4,"$334,897.93 "
house,Coimbra,40.4375447,-7.8667708,372.7,"$140,292.30 "
apartment,Andalucia,36.757714,-4.2429565,122,"$347,729.07 "
house,Manitoba,49.8634627,-97.1373403,238.6,"$168,301.78 "
apartment,Northern Ireland,54.4429264,-6.4175653,347.7,"$86,956.25 "
house,Andalucia,36.7203407,-4.419495,322.1,"$207,498.66 "
house,Manitoba,51.1500374,-100.0497004,156.7,"$175,967.39 "
house,Coimbra,40.3356039,-7.883045,218.7,"$20,685.22 "
apartment,Coimbra,40.1311441,-8.3924705,348.8,"$71,111.55 "
apartment,Coimbra,40.370514,-8.7330787,359.8,"$60,099.88 "
house,Rogaland,58.960787,5.7326598,256.7,"$183,753.68 "
apartment,Pahang,3.9628564,101.866362,246.5,"$378,129.62 "
house,Coimbra,40.4655049,-8.7183737,137.7,"$423,729.65 "
house,Coimbra,40.1638631,-8.8615847,107.8,"$394,991.15 "
house,Jalisco,21.2350622,-102.3342182,310.3,"$306,502.76 "
apartment,Coimbra,40.2278236,-8.5382163,121.2,"$226,236.15 "
house,Coimbra,40.458916,-7.8775484,147.8,"$163,499.58 "
apartment,Jalisco,19.3972335,-99.1933664,288.8,"$140,208.22 "
house,Coimbra,40.0856412,-8.2896115,342.8,"$240,929.54 "
house,Manitoba,49.60559,,394.6,"$332,472.63 "
apartment,Coimbra,40.1284892,-8.8575795,194.4,"$361,903.67 "
house,Coimbra,40.3942251,-7.8103942,361.9,"$363,860.35 "
house,Manitoba,50.1369112,-96.8791564,78.6,"$205,840.14 "
house,Coimbra,40.0856412,-8.2896115,322.2,"$58,391.16 "
house,Manitoba,49.4992,-98.00156,276.9,"$385,623.36 "
house,Rogaland,58.960787,5.7326598,264.1,"$346,882.23 "
house,Manitoba,49.1980747,-98.102542,239,"$182,006.90 "
apartment,Pahang,3.9671435,103.40391,83.1,"$422,326.22 "
house,Jalisco,20.6589523,-105.2363025,147.1,"$408,161.54 "
apartment,Manitoba,55.7454343,-97.8681552,214.8,"$27,313.84 "
apartment,Coimbra,40.1675841,-8.4639317,148.6,"$289,721.49 "
house,Jalisco,23.9211737,-106.8915948,269,"$249,529.21 "
house,Coimbra,40.2278236,-8.5382163,238.8,"$292,209.71 "
house,Manitoba,50.22892,-99.46642,272.7,"$76,929.66 "
house,Manitoba,49.26811,-100.99669,214.2,"$193,729.07 "
house,Sarawak,3.2093353,101.6716295,132.7,"$78,557.01 "
house,Manitoba,54.7769326,-101.8448368,395,"$72,543.64 "
apartment,Jalisco,25.7572143,-102.9838564,74,"$325,789.09 "
house,Rogaland,67.1335945,16.0707095,282.6,"$168,509.64 "
apartment,Wyoming,41.1399814,-104.8202462,156.5,"$215,574.53 "
apartment,Jalisco,20.5439984,-103.4649786,214.3,"$277,858.64 "
house,Coimbra,40.4603188,-8.72233,226,"$230,436.71 "
house,Sarawak,3.2093353,101.6716295,382.1,"$430,668.35 "
apartment,Coimbra,40.280218,-8.4788248,351.9,"$198,615.47 "
house,Rogaland,58.960787,5.7326598,399,"$136,698.65 "
apartment,Coimbra,40.4655049,-8.7183737,275,"$243,905.81 "
apartment,Galicia,42.229169,-8.7026991,292.9,"$302,786.24 "
house,Manitoba,49.26811,-100.99669,76.8,"$22,455.47 "
apartment,Pahang,3.9671435,103.40391,285.3,"$209,953.79 "
house,Jalisco,20.3411024,-103.9970779,90.8,"$155,333.33 "
apartment,Coimbra,40.2269318,-8.5714359,190.5,"$432,786.00 "
apartment,Pahang,3.8353843,103.2901816,307.7,"$359,589.54 "
apartment,Pahang,3.9671435,103.40391,340.8,"$429,849.74 "
house,Rogaland,58.9015864,5.7123282,380.7,"$50,625.75 "
apartment,Coimbra,40.1999522,-8.5031422,197.6,"$142,700.54 "
house,Manitoba,49.18332,-99.66364,324.2,"$160,840.69 "
house,Jalisco,20.585863,-100.384181,78.8,"$25,159.23 "
house,Sarawak,3.2093353,101.6716295,199.6,"$84,428.97 "
house,Andalucia,37.1952335,-3.664859,332.2,"$86,027.17 "
apartment,Jalisco,20.8965838,-105.4093552,289.5,"$443,131.85 "
house,Coimbra,,-8.6947028,165,"$265,270.39 "
apartment,Andalucia,37.1691224,,121.8,"$182,643.43 "
house,Manitoba,50.1369112,-96.8791564,298.3,"$139,972.03 "
house,Jalisco,20.7257009,-103.4082453,399.9,"$79,051.37 "
apartment,Jalisco,19.3851705,-99.1837453,284.7,"$380,483.50 "
apartment,Pahang,3.7187884,103.1357512,205.6,"$245,404.34 "
apartment,Pahang,3.9671435,103.40391,165.9,"$97,261.26 "
apartment,Coimbra,40.3356039,-7.883045,90.6,"$370,636.07 "
house,Coimbra,40.336837,-7.8256005,258.4,"$202,000.72 "
apartment,Pahang,3.9671435,103.40391,119.1,"$299,938.66 "
house,Coimbra,40.1694467,-8.4784931,220.4,"$299,915.38 "
apartment,Andalucia,37.7801069,-3.8235525,327.3,"$41,057.28 "
house,Galicia,43.4880374,-8.2310576,298.1,"$425,891.26 "
house,Galicia,43.3216087,-8.434873,314.7,"$63,170.91 "
apartment,Coimbra,40.1238547,-8.2410308,172.2,"$370,786.90 "
house,Jalisco,17.9567646,-102.1943485,198.9,"$212,163.63 "
apartment,Coimbra,40.3753066,-8.7157832,102,"$111,404.95 "
apartment,Sarawak,3.2093353,101.6716295,206.9,"$59,755.71 "
house,Sarawak,3.2093353,101.6716295,169.2,"$287,534.31 "
house,Jalisco,19.4458447,-99.1497664,141,"$199,493.67 "
apartment,Northern Ireland,54.5940619,-5.9308088,110.2,"$249,876.84 "
apartment,Wyoming,41.1399814,-104.8202462,123.1,"$32,673.51 "
apartment,Andalucia,,-6.2761016,333.3,"$100,026.40 "
apartment,Coimbra,40.4375447,-7.8667708,313.5,"$285,555.67 "
house,Sarawak,3.2093353,101.6716295,290.8,"$97,739.79 "
house,Andalucia,36.8414494,-2.4567059,175.2,"$229,059.05 "
apartment,Andalucia,36.8414494,-2.4567059,294.2,"$252,929.69 "
apartment,Rogaland,59.412262,5.2978064,110,"$342,111.98 "
house,Coimbra,40.1694467,-8.4784931,106.2,"$262,698.85 "
apartment,Coimbra,40.3519909,-7.8410273,127.5,"$26,779.27 "
apartment,Coimbra,40.27638,-8.4732946,172.5,"$207,034.55 "
apartment,Coimbra,40.2187855,-8.0537529,75.3,"$239,692.14 "
apartment,Rogaland,,16.0707095,264.7,"$325,448.06 "
apartment,Galicia,42.4385891,,171.2,"$426,816.35 "
house,Pahang,3.9671435,103.40391,270.8,"$384,873.83 "
apartment,Coimbra,41.1741505,-8.6691157,268.2,"$152,337.78 "
house,Jalisco,20.5439984,-103.4649786,218.9,"$234,427.08 "
apartment,Coimbra,40.2191082,-8.5533397,368.8,"$88,304.49 "
apartment,Coimbra,40.2278236,-8.5382163,74.1,"$158,727.90 "
house,Rogaland,58.848193,5.66466,293.7,"$83,197.86 "
house,Coimbra,40.3206366,-8.708013,377.4,"$280,491.45 "
house,Coimbra,40.3984011,-8.7050402,124.9,"$381,326.24 "
apartment,Coimbra,40.4603188,-8.72233,189.7,"$278,475.21 "
apartment,Coimbra,40.2187855,-8.0537529,205.3,"$446,524.64 "
house,Rogaland,58.9583506,5.7740124,369.5,"$142,640.65 "
apartment,Jalisco,21.2350622,-102.3342182,219,"$46,559.96 "
apartment,Coimbra,40.2221306,-8.0122102,173.8,"$221,577.86 "
apartment,Manitoba,49.35499,-97.36567,115.5,"$233,393.46 "
house,Coimbra,40.4234188,-8.7397233,160,"$160,387.80 "
house,Manitoba,49.1980747,-98.102542,365.8,"$142,989.97 "
house,Manitoba,50.13441,-97.32676,134.5,"$348,027.11 "
house,Andalucia,37.439299,-5.9885456,145.7,"$349,426.28 "
house,Coimbra,,-8.5714359,125.3,"$76,280.33 "
house,Coimbra,,-7.8256005,330.2,"$20,187.80 "
apartment,Coimbra,40.211932,-8.8417565,134.2,"$444,457.76 "
apartment,Rogaland,59.412262,5.2978064,213.1,"$352,936.42 "
apartment,Sarawak,1.4871144,110.3426018,178.1,"$63,986.20 "
house,Jalisco,19.4458447,-99.1497664,357.3,"$159,412.32 "
apartment,Manitoba,49.35499,-97.36567,126.2,"$408,795.99 "
house,Manitoba,,-96.51669,356,"$179,352.26 "
apartment,Coimbra,40.1726307,-8.4357299,258.8,"$178,707.95 "
apartment,Coimbra,40.3206366,-8.708013,180.1,"$117,475.94 "
apartment,Coimbra,40.0856412,-8.2896115,362.2,"$270,856.47 "
house,Manitoba,49.23062,-100.05586,380.1,"$138,259.08 "
house,Coimbra,40.152053,-8.3479579,341.4,"$397,687.98 "
house,Galicia,42.4556093,-8.6325611,302.1,"$102,800.13 "
house,Coimbra,40.425421,-8.7370509,192.4,"$37,156.99 "
apartment,Jalisco,20.585863,-100.384181,188.1,"$216,853.69 "
apartment,Jalisco,25.5822549,,397.7,"$261,258.59 "
house,Jalisco,21.443179,-102.5724749,161.8,"$296,474.69 "
house,Sarawak,3.2093353,101.6716295,292.5,"$412,806.78 "
apartment,Coimbra,40.3779093,-7.8440342,155.3,"$346,801.84 "
apartment,Sarawak,1.4871144,110.3426018,377.7,"$214,022.43 "
apartment,Sarawak,1.7533329,110.3164529,335.2,"$94,369.75 "
house,Coimbra,40.2187855,-8.0537529,278.3,"$58,938.08 "
house,Coimbra,40.1311441,-8.3924705,110.2,"$44,444.73 "
apartment,Andalucia,37.4852899,-2.2959788,127.4,"$47,404.22 "
apartment,Manitoba,50.2536,-96.06116,114.4,"$273,963.85 "
house,Jalisco,17.9567646,-102.1943485,209.1,"$124,554.82 "
apartment,Jalisco,20.7257009,-103.4082453,112.3,"$117,240.64 "
house,Coimbra,,,235.1,"$417,267.68 "
house,Sarawak,1.558031,110.382845,332.9,"$369,126.86 "
house,Manitoba,49.4992,-98.00156,188.4,"$51,701.81 "
apartment,Rogaland,58.9015864,5.7123282,393.1,"$43,094.91 "
apartment,Sarawak,3.2093353,101.6716295,93.7,"$246,548.07 "
apartment,Andalucia,37.1691224,-3.6002547,85.2,"$199,577.53 "
house,Jalisco,17.9567646,-102.1943485,301.8,"$235,944.48 "
apartment,Andalucia,37.3100775,-5.9647536,346.1,"$106,389.87 "
apartment,Coimbra,40.1572681,-8.1106277,294.8,"$335,310.00 "
apartment,Coimbra,40.1675841,-8.4639317,171.6,"$385,973.04 "
house,Jalisco,20.8068681,-102.7799627,227.4,"$403,343.45 "
apartment,Northern Ireland,54.5940619,-5.9308088,175.6,"$57,571.78 "
apartment,Rogaland,59.3947609,5.3329119,72.5,"$284,400.30 "
apartment,Sarawak,1.5589383,110.346648,233.8,"$248,686.82 "
apartment,Jalisco,19.4873902,-104.6383777,283,"$263,281.60 "
apartment,Andalucia,37.3100775,-5.9647536,211.9,"$168,200.14 "
house,Coimbra,40.2295229,-8.5664387,370.4,"$276,649.51 "
apartment,Galicia,42.8518656,-8.5638609,107.4,"$109,832.06 "
house,Manitoba,49.4992,-98.00156,272.4,"$205,107.85 "
apartment,Coimbra,40.3606136,-7.8929371,381.7,"$284,387.01 "
house,Coimbra,40.211932,-8.8417565,382.5,"$33,417.85 "
apartment,Coimbra,40.2603592,-8.57269,373.6,"$314,176.19 "
apartment,Jalisco,17.9567646,-102.1943485,297.2,"$131,533.05 "
apartment,Coimbra,40.27638,-8.4732946,296.8,"$409,344.33 "
apartment,Andalucia,37.1952335,-3.664859,268.6,"$123,509.75 "
apartment,Coimbra,40.2187855,-8.0537529,319.7,"$430,023.14 "
house,Coimbra,40.3943941,-8.7360619,205.5,"$168,072.82 "
apartment,Jalisco,20.7303804,-103.3977222,241.9,"$371,040.33 "
apartment,Coimbra,40.0604197,-8.6218634,238.1,"$240,808.87 "
house,Pahang,3.9671435,103.40391,203.1,"$430,951.06 "
house,Coimbra,40.2365225,-8.5110798,137.2,"$411,266.49 "
apartment,Manitoba,49.18332,-99.66364,227.7,"$197,979.35 "
apartment,Andalucia,37.3100775,-5.9647536,188.3,"$173,286.58 "
house,Coimbra,40.4603188,-8.72233,342.1,"$62,369.65 "
apartment,Coimbra,40.4579077,-7.845845,189.2,"$282,202.92 "
apartment,Jalisco,19.4281922,-99.1789859,281.7,"$370,229.88 "
apartment,Sarawak,1.547829,110.341564,139.1,"$187,633.06 "
house,Galicia,42.4556093,-8.6325611,70.2,"$434,977.33 "
apartment,Coimbra,40.427682,-8.6947028,371.5,"$128,920.37 "
house,Coimbra,40.2191082,-8.5533397,122.2,"$175,715.51 "
apartment,Northern Ireland,54.4429264,-6.4175653,75.7,"$310,031.00 "
house,Sarawak,1.5376351,110.321945,148,"$261,805.94 "
apartment,Coimbra,40.3876316,-8.708411,364.3,"$345,390.30 "
house,Jalisco,20.6729456,,141.6,"$255,531.31 "
house,Galicia,43.3216087,-8.434873,111.5,"$260,368.20 "
house,Coimbra,40.2221306,-8.0122102,179,"$301,891.46 "
apartment,Sarawak,3.2093353,101.6716295,151.7,"$64,673.56 "
house,Sarawak,1.7533329,110.3164529,319.4,"$115,215.25 "
house,Coimbra,40.0341373,-8.41643,308.3,"$254,810.31 "
house,Coimbra,40.1572681,-8.1106277,78.3,"$264,394.80 "
house,Jalisco,20.6729456,-103.7379675,158.2,"$152,511.75 "
house,Sarawak,3.2093353,,150.2,"$26,635.63 "
apartment,Coimbra,40.0604197,-8.6218634,271.5,"$123,100.37 "
apartment,Rogaland,58.9583506,5.7740124,99,"$323,761.58 "
