property_type,state,lat,lon,area_m2,price_mxn
apartment,Rhône-Alpes,39.3134407,20.7929638,98.5,962010.9
apartment,Haute-Normandie,40.4776836,45.0525325,429.6,2691092.5
apartment,Rhône-Alpes,,,89.3,2607440.5
apartment,Oslo,-7.4209758,108.439474,395.8,1486773.9
apartment,Rhône-Alpes,38.8827087,-77.0163235,77.5,568409.0
apartment,Västra Götaland,,45.7880956,333.7,1651108.5
apartment,Haute-Normandie,22.69569,112.225334,476.3,4218604.2
apartment,Oklahoma,-23.2797384,-46.7452277,149.7,4165253.2
house,Oklahoma,33.0363903,40.2833315,326.8,220557.1
apartment,Rhône-Alpes,,27.1147095,15.8,4650928.8
house,Oklahoma,36.689044,117.302269,51.0,4268394.3
apartment,Oklahoma,16.961392,102.2728739,57.4,477646.5
apartment,Västra Götaland,25.5810414,89.6616352,455.0,2855174.6
house,Haute-Normandie,-27.4697707,153.0251235,122.3,2182945.2
house,Haute-Normandie,28.074649,119.141473,430.5,1948152.2
apartment,Oklahoma,-34.4402062,-55.9600098,162.5,4831664.6
house,Oslo,54.0085653,,404.1,1439546.5
house,Rhône-Alpes,-1.877183,106.1149182,455.4,3738699.7
house,Västra Götaland,-19.4707617,-42.5480125,86.9,4166214.6
apartment,Oslo,52.6325793,4.7239896,263.1,3027648.8
apartment,Oslo,41.549665,-7.3871483,457.1,4536248.3
house,Oklahoma,45.7873408,126.7075176,147.2,3309140.7
apartment,Västra Götaland,46.7515251,33.3678207,213.5,4039135.8
apartment,Haute-Normandie,11.862577,8.9990801,47.9,2025598.9
house,Oslo,-30.9738956,-54.6847647,263.8,363829.2
house,Haute-Normandie,23.642114,104.888718,100.4,1057227.2
apartment,Haute-Normandie,29.574609,120.934385,8.8,1734945.9
house,Oslo,50.3290055,30.4617625,192.1,4464654.1
house,Rhône-Alpes,49.663978,90.2905901,187.2,459369.7
apartment,Oklahoma,46.5450722,,373.8,4843580.2
apartment,Rhône-Alpes,32.060255,118.796877,213.1,2917811.0
apartment,Västra Götaland,43.3815181,133.9055702,160.9,4202654.1
house,Oslo,,34.6153907,217.5,1127924.0
house,Haute-Normandie,10.91667,122.66667,173.0,3277164.9
house,Haute-Normandie,-0.7399711,133.7941356,136.7,1861178.5
apartment,Oslo,,-90.0795843,394.5,3732828.2
house,Oklahoma,-8.4813579,,89.1,3503086.8
house,Västra Götaland,22.9221592,-82.6861446,258.5,4344369.3
house,Oslo,35.7453776,140.8272903,365.7,2847832.0
apartment,Rhône-Alpes,,-69.9371673,124.5,372974.3
apartment,Västra Götaland,29.1416432,119.7889248,145.7,2259842.2
apartment,Oslo,11.3535316,162.3442197,420.7,1724373.7
house,Oslo,28.18018,109.654991,423.6,2897813.4
apartment,Oklahoma,37.8484284,-25.2822768,458.7,3510770.7
apartment,Oklahoma,56.2419057,12.8657225,317.3,93611.5
apartment,Oklahoma,41.1604713,-7.7452871,290.3,204957.5
house,Rhône-Alpes,8.9085671,125.4008484,16.7,4396730.2
house,Oklahoma,30.350192,120.222909,215.8,4136317.8
apartment,Rhône-Alpes,42.6002262,46.5477914,439.6,826213.7
apartment,Haute-Normandie,32.9578909,-102.8518139,387.3,4032155.6
apartment,Oslo,61.8342207,-6.816861,369.6,4825673.0
apartment,Västra Götaland,9.9411601,122.5691915,499.7,2005005.8
house,Västra Götaland,40.3727775,-7.8600447,371.3,875574.5
apartment,Oklahoma,-7.3170603,109.2891005,77.0,4660082.5
apartment,Haute-Normandie,43.3050854,68.2346884,233.6,1566761.3
apartment,Oklahoma,14.5508865,121.0075554,427.9,796081.9
apartment,Rhône-Alpes,9.8245916,122.9082413,86.1,1610252.7
house,Rhône-Alpes,-21.224741,-50.863384,66.3,4632791.9
apartment,Haute-Normandie,-4.2596751,-43.0182166,70.5,427906.9
house,Haute-Normandie,40.5544993,-7.9843201,471.1,3187376.2
apartment,Haute-Normandie,-31.0783056,-64.4895079,347.6,4150404.6
house,Haute-Normandie,9.329496,125.554433,277.8,3919505.6
apartment,Oklahoma,,140.6177909,224.6,28212.0
house,Oklahoma,29.7905037,72.1747127,360.4,2244348.7
house,Västra Götaland,-8.6282191,116.4636472,246.1,3046592.0
house,Västra Götaland,11.8215864,-86.1306519,450.3,1713392.9
apartment,Rhône-Alpes,29.2434976,-82.116955,129.4,4281256.5
apartment,Rhône-Alpes,-20.6436652,-51.1110523,372.5,266617.5
apartment,Rhône-Alpes,60.3560649,5.3446343,75.9,4237452.3
house,Haute-Normandie,50.4800637,16.1816772,154.0,4350169.2
house,Oslo,,113.088924,401.5,683049.0
house,Oklahoma,28.521771,111.746328,139.7,4264957.9
apartment,Oslo,52.0404442,8.4770585,252.4,2802329.2
house,Oklahoma,52.4402961,,488.3,3899347.3
house,Rhône-Alpes,-8.47089,117.4996816,480.3,1176598.8
house,Oklahoma,20.6323938,-87.0911879,80.6,4691470.6
apartment,Rhône-Alpes,42.0288112,20.9969544,125.1,1979555.1
apartment,Oslo,10.4320215,,272.0,1066373.8
house,Västra Götaland,30.6107721,53.1911235,183.6,4516656.1
apartment,Rhône-Alpes,29.9905062,120.594551,421.4,4248672.7
apartment,Haute-Normandie,,10.5665003,253.8,320828.5
house,Haute-Normandie,-0.7171778,36.4310251,247.5,1463444.1
apartment,Rhône-Alpes,40.7746041,20.2385432,492.7,4015120.5
house,Rhône-Alpes,7.8400507,,52.7,418566.2
apartment,Haute-Normandie,46.4356499,15.952954,300.6,1016402.4
house,Rhône-Alpes,47.171717,124.863603,321.3,3443001.4
house,Haute-Normandie,-7.5450262,111.6556388,249.4,4337482.2
apartment,Haute-Normandie,47.3752386,-0.8453268,207.7,1685575.6
house,Oslo,-9.4116,119.3532,78.5,4607693.9
house,Oklahoma,49.7053582,18.6134596,75.5,341714.3
apartment,Oslo,34.728584,,55.1,4380602.5
house,Rhône-Alpes,,-8.8018715,305.2,2759378.2
apartment,Haute-Normandie,60.3560649,5.3446343,172.4,2726312.1
house,Oklahoma,-8.2132323,-71.3824374,428.5,1247863.6
house,Rhône-Alpes,41.2263185,,156.2,2654196.5
apartment,Haute-Normandie,0.965759,31.7195459,135.2,1204413.7
house,Rhône-Alpes,15.4560208,,371.4,994413.5
house,Oslo,52.6738562,41.7631303,472.1,3000627.5
house,Haute-Normandie,13.9300945,120.9522977,168.8,2662053.4
house,Oslo,36.4109466,128.1590828,348.2,2596711.2
apartment,Oslo,44.7488612,19.6907882,106.3,2998331.5
house,Haute-Normandie,45.7867643,3.1602637,393.3,2004279.6
house,Haute-Normandie,50.9218266,19.3568903,304.9,202863.9
apartment,Oklahoma,37.0897128,138.1339233,437.4,2323522.5
house,Haute-Normandie,46.5548251,15.5817763,276.6,1097414.1
house,Rhône-Alpes,47.895835,1.853886,220.4,1681561.9
house,Västra Götaland,35.4383695,137.2435332,195.5,4079955.6
apartment,Rhône-Alpes,49.0226636,17.7792323,390.1,4272284.1
house,Västra Götaland,48.738967,,76.6,2909001.2
house,Haute-Normandie,47.78333,112.11667,271.5,2596343.0
apartment,Oklahoma,11.66503,-1.0634024,303.0,1739241.8
house,Västra Götaland,44.1675867,2.0308233,49.7,4220320.1
house,Haute-Normandie,26.08603,119.3028774,339.8,4080459.5
house,Oklahoma,46.259611,5.653268,432.3,1532910.0
house,Haute-Normandie,42.8867657,26.44965,283.1,3457727.1
house,Haute-Normandie,-34.6637851,-58.5017947,144.6,2329827.6
house,Oklahoma,28.445307,113.521804,90.2,659875.2
house,Oslo,11.86538,121.44041,279.0,4221605.2
apartment,Oklahoma,50.2368774,18.6516275,403.3,3169837.6
house,Oslo,35.4755834,,290.8,2294050.8
house,Oklahoma,11.804149,12.5183307,400.3,4734248.4
house,Västra Götaland,-3.8277688,119.7773461,60.9,4843808.4
house,Oslo,38.6675581,128.3176776,427.4,4721495.4
apartment,Oslo,45.4718665,-76.6841393,110.1,408628.5
house,Västra Götaland,35.86166,104.195397,469.7,3444874.1
house,Västra Götaland,-13.5362103,-39.940155,327.3,684269.8
house,Haute-Normandie,-34.6787774,-58.6694618,460.9,3894775.2
apartment,Oklahoma,12.65179,-1.888756,99.2,1328761.5
house,Oklahoma,14.6741293,120.5112907,16.9,2181436.6
house,Oklahoma,26.312444,99.850365,478.3,2489448.1
house,Oklahoma,59.33549,18.0685774,71.3,2143516.7
house,Haute-Normandie,54.0962372,,357.2,165224.1
house,Haute-Normandie,20.5476734,105.9347384,185.8,2678997.3
house,Västra Götaland,33.5311408,131.3266966,154.8,4738572.2
apartment,Västra Götaland,-34.7611766,-56.3628409,288.8,907706.0
house,Västra Götaland,59.9344779,30.3842343,98.4,3429021.0
house,Oslo,-18.9797547,32.3759269,472.6,592035.8
apartment,Oklahoma,31.65051,35.17001,120.4,2886548.7
apartment,Rhône-Alpes,23.5585593,89.9041371,331.0,4224441.6
house,Oklahoma,54.3924957,48.577155,180.3,28307.0
apartment,Haute-Normandie,32.3622982,120.5285929,21.2,1636763.9
house,Rhône-Alpes,30.2979687,120.1561748,14.6,414478.1
apartment,Västra Götaland,28.650072,121.261886,438.2,360550.3
house,Oklahoma,49.6669762,25.7723085,19.9,2743782.7
house,Haute-Normandie,,30.6044813,441.1,3963498.1
house,Oklahoma,32.060255,118.796877,166.5,2363980.4
apartment,Västra Götaland,17.1056791,120.4557309,276.2,20365.6
apartment,Oslo,23.2423405,-106.4530275,474.6,1574095.7
house,Västra Götaland,31.44803,73.71257,68.1,1610915.0
apartment,Haute-Normandie,-22.314459,-49.0586951,262.9,612076.3
apartment,Haute-Normandie,28.229271,120.997332,275.2,2412579.5
house,Oklahoma,23.365556,116.70345,78.9,2605149.5
house,Oklahoma,,29.4620887,151.0,4654301.6
apartment,Oslo,46.678613,141.8559579,175.2,1118177.3
apartment,Västra Götaland,,12.8256275,258.5,2648384.7
apartment,Västra Götaland,33.5610062,130.5635665,342.4,2185975.9
house,Haute-Normandie,-20.9304923,55.5243352,352.6,3571648.2
apartment,Haute-Normandie,28.6751124,57.7371569,164.7,620101.9
apartment,Oklahoma,14.5671014,121.0312325,484.5,1623784.5
house,Oklahoma,38.7811142,20.7067845,262.8,2182179.4
apartment,Oslo,30.912302,95.604143,351.8,3602533.4
house,Rhône-Alpes,47.1117538,96.6716809,120.9,3523638.4
apartment,Västra Götaland,52.3716937,4.8925949,63.3,4455145.2
apartment,Rhône-Alpes,-28.3307679,31.4256183,442.9,1546102.7
apartment,Oslo,35.9032997,36.733459,340.2,4030059.1
house,Oslo,54.0188307,31.7244374,467.0,4775296.0
apartment,Rhône-Alpes,40.9492064,24.142372,68.9,476168.7
apartment,Haute-Normandie,36.776378,121.158434,475.1,681889.0
house,Rhône-Alpes,37.175532,121.790282,458.9,1795690.5
house,Oklahoma,-25.3849055,-54.3030016,214.5,256103.2
house,Oklahoma,41.5335463,47.4238117,499.1,3693525.8
house,Oklahoma,50.23154,24.377,7.4,3219948.7
house,Rhône-Alpes,-0.8761629,131.255828,11.8,1807556.3
apartment,Haute-Normandie,21.270702,110.359368,209.4,3883372.5
apartment,Rhône-Alpes,-7.5904342,108.7630664,5.1,3935114.1
apartment,Oklahoma,38.5274257,22.2033742,470.1,4829465.8
apartment,Västra Götaland,50.0625015,-110.6821866,415.4,1446757.4
house,Oklahoma,28.168408,120.482198,343.6,3993586.8
house,Oslo,38.09234,-8.204915,98.7,2373164.0
apartment,Västra Götaland,,104.692473,181.8,4771961.4
apartment,Oslo,32.388662,119.39402,410.9,3342142.6
house,Oklahoma,32.983101,107.766613,48.3,3717455.6
house,Oklahoma,10.379923,-74.881979,253.7,25023.0
house,Rhône-Alpes,22.066171,107.781956,213.1,1519062.0
apartment,Oklahoma,52.6225919,,286.6,1223026.1
house,Haute-Normandie,59.7335648,,405.8,3029493.0
house,Rhône-Alpes,32.8901015,72.8009248,455.9,2130539.4
apartment,Haute-Normandie,-8.2981893,31.5227266,208.7,1086017.3
apartment,Oslo,-8.3086532,123.5183871,194.0,3396622.4
house,Rhône-Alpes,22.4177717,104.8104424,315.3,970816.6
house,Haute-Normandie,46.3919813,15.5727869,120.3,257734.4
house,Oklahoma,34.0740905,70.2884528,334.5,777155.1
house,Oklahoma,,135.0579895,372.5,2937611.6
house,Rhône-Alpes,-20.4709005,57.584421,202.7,138852.2
apartment,Oslo,44.346784,5.8855505,87.9,651351.8
house,Oklahoma,,17.3960222,333.0,2887829.8
house,Oslo,-7.8100327,110.3592495,44.9,1770691.4
house,Haute-Normandie,-0.358417,100.219498,148.4,4344555.2
apartment,Rhône-Alpes,-6.5397069,110.8463512,386.0,3643989.5
house,Västra Götaland,32.6797904,-5.5781378,235.9,1219599.1
apartment,Västra Götaland,31.904326,107.762268,158.3,2698295.5
house,Haute-Normandie,51.876873,-8.5171384,198.1,3336525.1
apartment,Haute-Normandie,,20.9033999,76.2,2369628.6
house,Rhône-Alpes,-12.3090253,44.4364706,142.8,1136426.5
house,Haute-Normandie,-7.0028587,108.2362691,297.8,2510471.5
apartment,Oklahoma,-28.73688,31.89571,447.4,1035576.0
house,Västra Götaland,44.109264,87.626156,291.6,3118617.2
apartment,Oslo,40.9970971,-7.8262205,31.4,3804804.9
apartment,Oklahoma,44.128014,18.1178262,448.8,4979846.0
apartment,Oklahoma,60.6092521,15.6288996,87.3,451475.5
apartment,Oklahoma,34.1470534,135.2088227,222.9,2906163.5
apartment,Haute-Normandie,31.297414,121.450653,352.6,389405.7
house,Oslo,50.8548419,,111.2,2038757.6
house,Rhône-Alpes,41.9432941,20.9481376,140.3,2465622.4
house,Oslo,15.1543718,-92.047026,313.4,4359331.8
house,Västra Götaland,17.8064459,102.5527505,25.7,2167001.2
apartment,Oslo,-2.763864,101.3338009,148.0,4219972.7
apartment,Rhône-Alpes,48.6688151,22.7524961,477.7,1732043.1
house,Västra Götaland,31.52057,34.97442,438.3,4575279.4
apartment,Oklahoma,18.932625,-70.4079274,468.9,4887574.3
apartment,Haute-Normandie,56.674534,22.0049709,403.9,1158490.1
apartment,Oklahoma,22.270978,113.576677,136.6,708185.8
house,Västra Götaland,32.187123,34.823124,329.8,3047630.2
house,Oklahoma,42.5387912,26.6831949,42.1,998428.6
house,Oklahoma,9.5403936,125.5240221,400.1,2127404.8
house,Rhône-Alpes,31.282641,120.392977,225.7,1762384.2
apartment,Rhône-Alpes,47.59585,126.100213,467.0,4886706.0
house,Rhône-Alpes,,,159.6,3547008.7
house,Oslo,27.135999,111.106104,431.2,773225.4
apartment,Haute-Normandie,-15.1662376,,60.0,4941205.4
apartment,Rhône-Alpes,25.424394,103.760377,198.9,4521824.1
house,Rhône-Alpes,25.6502709,-100.3428618,167.5,889078.4
house,Rhône-Alpes,4.6096768,101.1064003,56.8,4737824.2
house,Oslo,48.1283188,11.544489,245.8,3094380.3
apartment,Rhône-Alpes,-7.280135,112.6347636,202.8,1677458.6
